Stocks,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y CAGR,Beta,Alpha,5Y HISREVGTH
RELIANCE,Oil & Gas - Refining & Marketing,1647964.09,2473.30,33.54,38.02,1.14,14.90,12.03
TCS,IT Services & Consulting,1285679.29,3475.70,39.64,26.75,0.63,13.71,8.41
HDFCBANK,Private Banks,852892.49,1539.40,26.79,20.51,1.10,-4.95,15.95
INFY,IT Services & Consulting,745692.88,1779.40,38.54,31.07,0.61,25.13,9.39
HINDUNILVR,FMCG - Household Products,563760.93,2399.40,70.51,24.48,0.24,6.54,7.77
ICICIBANK,Private Banks,529414.25,762.90,28.80,25.97,1.32,1.92,9.73
HDFC,Home Financing,529337.23,2925.40,28.25,18.54,1.15,-6.79,22.35
BHARTIARTL,Telecom Services,462483.67,714.35,-30.66,19.10,0.77,20.52,1.73
BAJFINANCE,Consumer Finance,451003.36,7484.95,102.04,53.50,1.82,16.19,29.47
SBIN,Public Banks,449621.93,503.80,20.07,12.81,1.48,-2.06,7.10
KOTAKBANK,Private Banks,401950.87,2024.45,40.23,21.04,1.00,1.42,15.18
WIPRO,IT Services & Consulting,355914.08,651.45,32.97,31.71,0.35,23.20,3.57
DMART,Retail - Department Stores,329127.84,5080.90,299.35,-,0.42,33.51,21.49
ASIANPAINT,Paints,309446.7,3226.85,98.57,28.86,0.57,23.19,5.97
HCLTECH,IT Services & Consulting,303984.76,1120.20,27.28,24.01,0.84,14.46,18.98
ITC,FMCG - Tobacco,292656.48,237.50,22.24,0.83,0.73,-11.24,4.97
BAJAJFINSV,Insurance,284817.39,17921.25,63.71,43.52,1.75,20.24,24.16
LT,Construction & Engineering,266498.01,1897.00,23.01,15.73,1.15,-5.40,7.65
MARUTI,Four Wheelers,245202.92,8117.15,55.87,10.39,1.15,-14.67,4.42
ULTRACEMCO,Cement,224079.28,7767.70,41.02,18.02,0.89,9.91,12.23
TITAN,"Precious Metals, Jewellery & Watches",220011.17,2478.20,226.12,52.21,0.90,15.07,13.98
AXISBANK,Private Banks,216648.6,706.35,30.11,8.33,1.49,-19.05,9.50
ADANIGREEN,Renewable Energy,210477.22,1345.75,1002.27,-,1.70,116.85,-
ADANITRANS,Power Infrastructure,210426.66,1913.30,171.91,111.89,2.11,68.80,37.25
ONGC,Oil & Gas - Exploration & Production,194113.71,154.30,11.95,-3.40,1.21,-10.26,18.83
SUNPHARMA,Pharmaceuticals,189703.42,790.65,65.33,2.79,0.66,8.57,3.35
NESTLEIND,FMCG - Foods,187099.52,19405.50,89.85,26.97,0.24,13.93,10.25
ADANIENT,Commodities Trading,185730.43,1688.75,201.30,92.22,1.70,65.76,2.77
TATAMTRDVR,Four Wheelers,183880.97,288.00,-14.07,-0.74,1.63,21.52,-
TATAMOTORS,Four Wheelers,183880.97,509.70,-13.67,1.58,1.73,17.77,-1.34
ATGL,Gas Distribution,182249.53,1657.10,393.78,-,-,93.88,8.51
JSWSTEEL,Iron & Steel,156667.25,650.55,19.80,30.92,1.09,7.43,14.03
TECHM,IT Services & Consulting,152084.25,1567.75,34.35,28.62,0.67,19.45,7.48
ADANIPORTS,Ports,148241.39,726.05,29.68,22.62,1.27,11.08,14.21
TATASTEEL,Iron & Steel,142842.9,1186.60,19.07,25.24,1.28,11.21,7.61
HDFCLIFE,Insurance,142619.15,704.50,104.80,-,0.86,8.80,31.58
HINDZINC,Mining - Diversified,136456.68,322.95,17.10,5.27,0.64,1.11,7.61
POWERGRID,Power Transmission & Distribution,134277.47,192.50,11.16,5.98,0.53,3.07,14.26
NTPC,Power Generation,131195.89,135.30,8.96,0.41,0.72,-6.81,9.60
DIVISLAB,Labs & Life Sciences Services,127042.64,4785.60,64.02,32.22,0.28,30.44,12.66
LTI,IT Services & Consulting,125221.89,7147.65,64.68,63.70,0.76,43.20,15.94
PIDILITIND,Diversified Chemicals,123969.1,2439.60,109.59,31.74,0.56,16.13,6.27
IOC,Oil & Gas - Refining & Marketing,121772.15,129.35,5.63,-2.96,0.86,-12.99,1.05
SBILIFE,Insurance,118230.21,1182.05,81.21,-,0.85,14.10,33.59
ZOMATO,Online Services,117441.4,154.70,-144.49,-,-,-,68.73
GRASIM,Cement,116503.29,1774.50,27.06,16.73,0.89,11.09,17.12
VEDL,Metals - Diversified,114698.54,309.55,9.89,8.77,1.65,1.45,5.88
M&M,Four Wheelers,110299.97,923.70,60.86,8.30,1.47,-12.45,-0.04
DABUR,FMCG - Personal Products,107618.26,608.75,63.56,16.93,0.42,6.56,4.07
DLF,Real Estate,103267.72,415.90,94.43,29.01,1.38,8.35,-10.92
BAJAJ-AUTO,Two Wheelers,102654.4,3547.55,21.14,6.62,0.95,-1.75,4.27
NYKAA,Online Services,100508.86,2125.25,1625.04,-,-,-,-
HINDALCO,Metals - Aluminium,98654.54,440.30,28.32,21.64,1.65,4.71,5.90
SHREECEM,Cement,98021.65,27167.30,42.88,13.97,0.90,4.85,17.65
SBICARD,Payment Infrastructure,96990.46,1028.95,98.52,-,-,-,31.27
COALINDIA,Mining - Coal,94536.25,153.40,7.44,-12.94,0.79,-28.86,-3.31
GODREJCP,FMCG - Personal Products,94031.44,919.55,54.64,14.20,0.59,0.53,5.53
ICICIPRULI,Insurance,92006.51,640.15,96.23,17.53,0.89,13.23,32.41
BPCL,Oil & Gas - Refining & Marketing,87642.71,405.30,5.42,-1.10,1.22,0.04,4.61
INDIGO,Airlines,86702.32,2251.15,-14.93,21.54,0.78,14.14,-1.20
BRITANNIA,FMCG - Foods,86028.52,3571.60,46.16,19.74,0.61,-3.11,9.56
HAVELLS,Electrical Components & Equipments,85982.52,1372.95,82.33,33.82,0.99,7.84,4.37
NAUKRI,Online Services,83436.97,6485.90,59.30,48.76,0.93,41.33,24.98
SIEMENS,Conglomerates,82395.54,2313.70,107.20,15.69,0.97,17.50,-2.32
APOLLOHOSP,Hospitals & Diagnostic Centres,80355.49,5588.60,534.28,36.11,0.96,48.95,11.15
MINDTREE,IT Services & Consulting,79755.89,4839.40,71.82,61.37,0.90,49.52,11.29
AMBUJACEM,Cement,79594.59,400.85,33.65,15.06,0.80,11.87,20.49
INDUSINDBK,Private Banks,78070.3,1008.45,26.64,-1.75,2.29,-39.05,18.54
DRREDDY,Pharmaceuticals,77505.97,4671.45,39.71,7.76,0.16,16.02,4.09
TATACONSUM,Tea & Coffee,76677.71,832.05,89.50,47.27,0.75,34.37,11.94
INDUSTOWER,Telecom Infrastructure,76644.11,284.45,20.28,-4.17,0.63,0.55,16.02
BERGEPAINT,Paints,76552.62,788.15,106.36,33.32,0.60,20.73,10.01
TATAPOWER,Power Transmission & Distribution,75761.5,237.10,67.20,27.62,1.13,22.81,1.44
MOTHERSUMI,Auto Parts,75048.31,237.65,72.22,12.98,1.73,-1.63,9.18
ICICIGI,Insurance,74210.97,1512.35,50.38,-,0.65,9.40,16.01
CIPLA,Pharmaceuticals,71980.35,892.30,29.93,10.12,0.36,13.23,6.77
IRCTC,Online Services,71252.0,890.65,375.21,-,-,81.92,-9.62
EICHERMOT,Trucks & Buses,71177.09,2603.30,52.85,3.62,0.98,-12.04,7.21
MARICO,FMCG - Personal Products,69930.1,541.80,59.67,16.72,0.36,10.09,8.07
MCDOWELL-N,Alcoholic Beverages,66854.39,920.05,174.28,19.73,0.82,2.78,-2.18
LODHA,Real Estate,66286.57,1376.65,1650.97,-,-,-,-8.01
SRF,Textiles,64811.29,2187.90,54.10,50.30,1.04,43.17,12.88
MUTHOOTFIN,Consumer Finance,64331.85,1603.00,16.91,39.66,1.14,30.50,18.54
GAIL,Gas Distribution,62587.3,140.95,10.20,3.15,1.16,-16.76,2.66
MPHASIS,IT Services & Consulting,62561.04,3339.15,51.41,45.41,0.90,38.11,9.46
PEL,Diversified Financials,60587.39,2551.85,45.47,12.15,1.37,-12.87,14.69
GODREJPROP,Real Estate,60528.96,2177.40,-319.53,48.10,1.37,27.06,-10.09
POLICYBZR,Online Services,59889.11,1332.35,-398.60,-,-,-,54.28
LTTS,Software Services,59230.78,5617.60,89.30,47.09,0.91,32.99,12.20
UPL,Fertilizers & Agro Chemicals,56650.15,741.45,19.73,12.27,1.07,-1.75,22.25
GLAND,Pharmaceuticals,56165.77,3418.45,56.34,-,-,-,21.04
IDBI,Public Banks,55536.16,51.65,36.68,-6.34,1.42,-6.18,-4.71
HDFCAMC,Asset Management,55459.85,2601.40,41.83,-,-,8.81,8.06
BAJAJHLDNG,Asset Management,54424.2,4890.15,14.91,20.79,1.35,4.05,52.30
HEROMOTOCO,Two Wheelers,53644.71,2684.85,18.39,-1.77,0.92,-16.72,1.75
BOSCHLTD,Auto Parts,52438.66,17779.65,108.79,-1.55,0.83,-18.94,-0.26
BEL,Electronic Equipments,50888.24,208.85,24.24,11.93,0.70,19.91,12.42
CHOLAFIN,Consumer Finance,50662.86,617.30,33.31,25.68,1.57,7.35,17.85
JUBLFOOD,Restaurants & Cafes,50356.75,3815.80,217.37,53.83,0.98,29.76,6.68
BANKBARODA,Public Banks,49774.36,96.25,32.16,-11.47,1.54,-18.97,11.44
BANDHANBNK,Private Banks,49199.25,305.45,22.31,-,2.22,-30.19,53.25
PGHH,FMCG - Personal Products,49036.49,15106.40,75.23,18.27,0.31,12.83,8.87
JSWENERGY,Power Generation,48435.42,295.30,60.89,39.03,0.90,45.38,-6.73
CADILAHC,Pharmaceuticals,47363.45,462.65,22.20,4.43,0.49,6.68,9.67
TORNTPHARM,Pharmaceuticals,47235.14,2791.30,37.73,16.33,0.50,14.88,3.12
ASTRAL,Building Products - Pipes,46309.09,2304.85,114.51,56.05,0.79,39.08,13.84
HAL,Aerospace & Defense Equipments,46265.85,1383.60,14.28,-,1.22,14.91,4.71
HINDPETRO,Oil & Gas - Refining & Marketing,45931.09,323.70,4.31,1.08,0.86,1.30,5.58
PNB,Public Banks,45860.88,41.65,17.90,-22.58,1.68,-31.75,10.79
ACC,Cement,45829.48,2440.50,32.04,13.26,1.00,8.42,3.29
SAIL,Iron & Steel,45642.3,110.50,11.00,17.54,1.93,10.55,12.49
ABB,Heavy Electrical Equipments,45550.76,2149.55,207.79,15.34,1.06,12.33,-5.99
PAGEIND,Apparel & Accessories,45279.15,40595.00,132.95,25.48,0.71,4.04,9.58
BALKRISIND,Tires & Rubber,44678.5,2311.15,37.94,36.25,0.95,13.46,11.78
BIOCON,Biotechnology,44056.02,366.95,59.49,20.34,0.61,-0.39,14.68
GUJGASLTD,Gas Distribution,43943.38,638.35,34.39,43.42,0.95,50.01,10.05
PIIND,Diversified Chemicals,43532.37,2870.75,58.96,30.02,0.87,30.76,17.16
UBL,Alcoholic Beverages,43045.16,1628.00,380.19,13.73,0.80,-2.49,-2.44
SRTRANSFIN,Consumer Finance,43043.01,1601.40,17.23,14.59,1.44,-7.46,10.97
ABBOTINDIA,Pharmaceuticals,41653.94,19602.50,60.31,34.00,0.19,30.35,10.50
ALKEM,Pharmaceuticals,41630.74,3481.85,26.27,16.23,0.56,14.91,11.99
SONACOMS,Auto Parts,41489.04,710.00,192.83,-,-,-,33.63
VBL,Soft Drinks,41122.99,949.65,125.00,37.14,1.15,27.46,17.14
ASHOKLEY,Trucks & Buses,40921.25,139.40,-247.66,11.84,1.28,-11.77,-1.68
VOLTAS,Home Electronics & Appliances,40860.42,1235.20,77.81,33.37,0.93,14.98,5.59
LUPIN,Pharmaceuticals,40805.55,898.70,33.54,-8.71,0.58,1.43,1.16
TRENT,Retail - Apparel,40442.03,1137.65,-276.68,43.58,0.88,30.38,9.65
COLPAL,FMCG - Personal Products,40169.56,1476.90,38.80,9.99,0.34,3.35,4.51
CANBK,Public Banks,39829.23,219.55,13.78,-7.62,1.61,-23.25,13.69
CONCOR,Logistics,39808.25,653.35,78.81,10.87,1.07,-8.33,0.39
TATAELXSI,Software Services,39799.32,6390.75,108.11,64.30,1.14,50.48,11.41
NMDC,Mining - Iron Ore,39797.63,135.80,6.34,3.59,0.76,1.32,13.56
ADANIPOWER,Power Generation,39687.9,102.90,31.25,33.19,1.19,24.64,2.13
IOB,Public Banks,39033.48,20.65,46.95,-4.32,1.19,14.96,-2.86
AUBANK,Consumer Finance,38086.84,1214.25,32.53,-,1.54,11.68,39.45
JINDALSTEL,Iron & Steel,37748.36,370.05,9.41,40.52,1.72,7.63,20.57
OFSS,Software Services,37720.23,4375.70,21.41,7.70,0.67,2.13,3.34
DALBHARAT,Cement,37715.78,2015.50,30.64,-,-,13.32,-
AUROPHARMA,Pharmaceuticals,37473.7,639.55,7.02,-2.41,0.72,-15.69,15.20
POLYCAB,Electrical Components & Equipments,37252.2,2494.05,42.23,-,-,44.19,11.60
BHARATFORG,Iron & Steel,36257.71,778.75,-286.87,11.42,1.40,-9.48,-1.36
TATACOMM,Telecom Services,35917.13,1260.25,28.72,15.63,1.61,38.49,-1.33
NATIONSTD,-,35571.8,17785.90,3216.26,-,-,-,-31.33
AARTIIND,Specialty Chemicals,35260.77,972.70,67.36,40.88,1.03,27.13,8.39
HONAUT,Electronic Equipments,35235.19,39851.95,76.59,36.26,0.64,11.04,7.17
EMBASSY,Real Estate,34755.7,366.66,49.77,-,-,-2.96,10.02
MAXHEALTH,Hospitals & Diagnostic Centres,34646.19,357.40,-251.88,-,-,-,12.24
TVSMOTOR,Two Wheelers,34389.18,723.85,57.87,14.88,0.82,-1.53,11.15
IGL,Gas Distribution,34307.04,490.10,29.26,23.87,0.61,13.94,6.60
PFC,Specialized Finance,34175.85,129.45,2.91,0.69,0.88,-4.59,20.79
PETRONET,Oil & Gas - Storage & Transportation,33802.5,225.35,11.50,3.68,0.76,-4.40,-0.68
COFORGE,IT Services & Consulting,33784.23,5572.10,74.15,69.23,1.06,47.75,11.62
TIINDIA,Cycles,33603.99,1742.15,117.37,-,1.74,48.11,-
OBEROIRLTY,Real Estate,33505.95,921.50,45.32,27.30,1.06,18.45,7.50
RELAXO,Footwear,33158.19,1332.05,113.73,45.55,0.48,33.38,6.73
MRF,Tires & Rubber,32853.91,77464.75,25.73,9.56,0.52,-6.42,-4.40
MFSL,Insurance,32782.45,949.90,77.07,12.61,1.02,17.41,21.72
NHPC,Renewable Energy,32746.81,32.60,10.05,4.43,0.49,2.32,2.99
YESBANK,Private Banks,32195.55,12.85,-9.23,-44.13,1.39,-35.18,7.62
UNIONBANK,Public Banks,32054.97,46.90,11.19,-21.48,1.41,-26.42,18.08
KANSAINER,Paints,31844.77,590.90,60.11,13.10,0.88,-0.01,4.24
PERSISTENT,Software Services,31805.96,4161.45,70.57,47.37,0.79,62.10,12.45
DIXON,Home Electronics & Appliances,31604.26,5388.45,197.79,-,1.03,78.00,35.68
DEEPAKNTR,Commodity Chemicals,31230.6,2289.75,40.26,89.50,1.00,62.49,26.09
IRFC,Specialized Finance,30776.33,23.55,6.97,-,-,-,16.00
IDFCFIRSTB,Private Banks,30191.51,48.60,62.49,-7.52,1.29,-8.32,35.08
ZEEL,TV Channels & Broadcasters,30131.38,313.70,37.66,-6.82,1.00,-19.35,5.46
LALPATHLAB,Hospitals & Diagnostic Centres,29797.21,3604.05,102.18,24.90,0.54,42.13,15.02
RUCHI,Packaged Foods & Meats,29005.73,980.45,42.61,-13.37,-1.42,158.59,-11.60
WHIRLPOOL,Home Electronics & Appliances,28938.2,2280.90,82.25,20.11,0.77,12.41,12.37
IDEA,Telecom Services,28591.71,9.95,-0.65,-25.36,1.19,3.76,4.06
3MINDIA,Stationery,28381.39,25194.15,174.77,15.61,0.71,-4.50,4.04
SUPREMEIND,Plastic Products,28372.09,2233.55,29.01,21.63,1.13,18.68,17.03
CROMPTON,Home Electronics & Appliances,28343.41,451.30,45.96,24.98,0.65,19.31,21.86
INDHOTEL,"Hotels, Resorts & Cruise Lines",27815.43,210.50,-38.63,18.22,1.31,1.18,-14.11
GLAXO,Pharmaceuticals,27777.51,1639.70,77.56,3.88,0.56,4.18,2.36
HATSUN,FMCG - Foods,27620.13,1281.30,112.11,37.68,0.90,29.42,10.08
BATAINDIA,Footwear,27560.8,2144.35,-308.56,38.20,0.83,15.10,-6.72
JKCEMENT,Cement,27148.59,3513.55,38.25,38.07,1.08,43.35,8.74
RECLTD,Specialized Finance,26908.26,136.25,3.21,0.56,1.08,-6.59,8.07
SUNDARMFIN,Consumer Finance,26597.58,2413.80,22.83,14.35,0.89,12.53,1.10
ABFRL,Retail - Apparel,26547.55,284.65,-39.48,16.70,0.67,4.26,-2.56
IPCALAB,Pharmaceuticals,26349.09,2077.15,23.11,30.78,0.41,32.01,13.56
LAURUSLABS,Pharmaceuticals,25866.92,482.05,26.30,-,1.43,57.88,22.11
ATUL,Diversified Chemicals,25754.94,8704.80,39.27,33.27,0.72,23.45,7.84
GICRE,Insurance,25596.7,145.90,12.85,-,1.37,-32.06,19.57
ISEC,Investment Banking & Brokerage,25479.88,789.70,23.86,-,1.46,25.57,18.12
CUMMINSIND,Industrial Machinery,25373.5,915.35,39.96,2.98,1.31,-6.61,-0.37
TORNTPOWER,Power Transmission & Distribution,25306.88,526.55,19.60,26.24,0.61,16.68,0.53
SOLARINDS,Commodity Chemicals,25129.99,2777.10,90.94,32.72,0.71,27.90,11.66
MINDAIND,Auto Parts,25091.76,878.50,121.43,54.95,1.18,20.18,20.32
NIACL,Insurance,25082.56,152.20,15.29,-,0.56,-11.42,11.89
NAM-INDIA,Asset Management,25055.2,403.35,36.83,-,0.90,20.83,1.56
ABCAPITAL,Diversified Financials,24814.16,102.70,22.03,-,1.70,-16.11,39.73
ENDURANCE,Auto Parts,24632.17,1751.15,47.40,26.42,1.05,5.57,4.56
SCHAEFFLER,Auto Parts,24246.92,7756.35,83.33,13.31,0.59,3.78,16.51
BANKINDIA,Public Banks,24231.56,59.05,11.63,-13.44,1.88,-21.57,1.06
SYNGENE,Labs & Life Sciences Services,24041.76,605.05,59.38,17.73,0.79,21.21,15.46
ESCORTS,Tractors,23808.69,1802.85,27.32,43.01,1.00,22.31,15.49
